Transaction_ID;Date;Customer_Name;Product;Total_Items;Total_Cost;Payment_Method;City;Store_Type;Discount_Applied;Customer_Category;Season;Promotion
1000000027;26.03.2020 22:08;Latoya Allen;['Ketchup', 'Trash Cans', 'Toothbrush'];10;29.36;Mobile Payment;Boston;Specialty Store;False;Professional;Spring;None
1000000028;13.08.2022 1:26;Clayton Roth;['Tomatoes', 'Salmon'];7;21.авг;Credit Card;San Francisco;Specialty Store;True;Teenager;Fall;None
1000000029;27.02.2020 10:23;Dennis Alvarez;['Tea', 'Salmon', 'Bath Towels', 'Toothpaste'];7;75.38;Mobile Payment;Houston;Convenience Store;True;Teenager;Summer;Discount on Selected Items
1000000030;08.01.2023 22:59;Jose Hill;['Olive Oil'];1;73.17;Debit Card;Boston;Specialty Store;True;Senior Citizen;Spring;None
1000000031;04.05.2024 13:22;Kristin Webb;['Extension Cords', 'Razors', 'Chips', 'Shampoo'];4;13.34;Debit Card;Houston;Department Store;False;Teenager;Summer;None
1000000032;04.04.2023 10:57;Robert Gilbert DDS;['Apple', 'Butter'];7;41.4;Debit Card;Chicago;Supermarket;False;Middle-Aged;Spring;None
1000000033;26.03.2022 19:18;Thomas Oliver;['Broom', 'Chicken', 'Spinach', 'Broom'];8;26.67;Credit Card;Chicago;Specialty Store;True;Homemaker;Spring;Discount on Selected Items
1000000034;07.02.2023 14:09;Stacy Owen;['Yogurt', 'Ice Cream', 'Insect Repellent'];5;34.27;Credit Card;San Francisco;Supermarket;True;Teenager;Summer;BOGO (Buy One Get One)
1000000035;12.10.2022 11:57;Ann Kane;['Onions', 'Dish Soap'];10;62.33;Credit Card;Miami;Warehouse Club;False;Young Adult;Spring;None
1000000036;16.10.2020 9:05;Mr. John Long;['Tomatoes', 'Mustard', 'Apple', 'Hair Gel'];4;19.ноя;Debit Card;Chicago;Convenience Store;True;Middle-Aged;Winter;Discount on Selected Items
1000000037;31.05.2020 5:35;Annette Robinson;['Garden Hose'];4;25.76;Mobile Payment;Los Angeles;Warehouse Club;True;Homemaker;Fall;BOGO (Buy One Get One)
1000000038;11.07.2020 22:15;Kimberly Baldwin;['Shower Gel', 'Dish Soap', 'Plant Fertilizer', 'Garden Hose', 'Tuna'];7;61.55;Credit Card;New York;Convenience Store;False;Student;Fall;None
1000000039;11.07.2023 11:36;Donald Bradford;['Potatoes', 'Air Freshener', 'Sponges', 'Onions', 'Laundry Detergent'];5;39.08;Cash;Dallas;Supermarket;False;Young Adult;Spring;None
1000000040;31.05.2022 17:09;Mike Gilbert;['Feminine Hygiene Products'];4;дек.97;Credit Card;Atlanta;Department Store;False;Professional;Winter;None
1000000041;01.07.2023 20:11;Rebecca Morton;['Shaving Cream', 'Butter'];8;56.99;Debit Card;Miami;Specialty Store;True;Retiree;Summer;Discount on Selected Items
1000000042;13.11.2023 12:48;Nicole Hernandez;['Lawn Mower', 'Eggs', 'Dustpan', 'Peanut Butter', 'Beef'];9;99.77;Cash;Boston;Specialty Store;True;Professional;Spring;Discount on Selected Items
1000000043;12.10.2020 12:39;Paige White;['Dustpan', 'BBQ Sauce', 'Toothbrush', 'Deodorant', 'Dish Soap'];8;29.82;Cash;Atlanta;Specialty Store;False;Student;Winter;Discount on Selected Items
1000000044;21.09.2022 5:09;Mr. Lance Perkins;['Bread', 'Dustpan', 'Ketchup', 'Ironing Board'];7;89.97;Cash;Atlanta;Department Store;False;Middle-Aged;Winter;None
1000000045;28.10.2022 18:17;Kelly Foley;['Soap'];2;83.55;Credit Card;Chicago;Convenience Store;False;Professional;Spring;Discount on Selected Items
1000000046;10.05.2024 23:21;Paula Maldonado;['Razors'];10;44.98;Cash;Dallas;Convenience Store;False;Student;Fall;None
1000000047;06.02.2023 1:31;Roberto Franklin;['Pasta', 'Olive Oil'];7;76.09;Mobile Payment;Los Angeles;Convenience Store;True;Retiree;Summer;None
1000000048;17.04.2024 0:49;Steven Clements;['Beef', 'Milk', 'Salmon', 'Shampoo'];10;55.69;Credit Card;Seattle;Department Store;True;Teenager;Summer;Discount on Selected Items
1000000049;24.06.2021 14:01;Katherine Luna;['Tea'];3;61.53;Cash;Houston;Warehouse Club;False;Retiree;Winter;Discount on Selected Items
1000000050;10.04.2021 19:14;Ryan Hammond;['Hand Sanitizer', 'Plant Fertilizer', 'Baby Wipes', 'Hand Sanitizer', 'Power Strips'];1;78.46;Mobile Payment;San Francisco;Supermarket;False;Teenager;Summer;Discount on Selected Items
1000000051;18.09.2023 9:06;Valerie Johnson;['Bread'];9;49.7;Mobile Payment;Miami;Pharmacy;True;Retiree;Fall;None
1000000052;10.05.2020 17:02;Jennifer Mitchell;['Vacuum Cleaner', 'Apple', 'Shrimp', 'Trash Bags', 'Carrots'];10;87.04;Mobile Payment;Boston;Convenience Store;False;Senior Citizen;Summer;BOGO (Buy One Get One)
1000000053;30.12.2020 14:17;Nathan Schwartz;['Shrimp', 'Cleaning Rags', 'Olive Oil', 'Soda'];2;сен.55;Cash;Houston;Warehouse Club;False;Senior Citizen;Fall;BOGO (Buy One Get One)
1000000054;02.03.2023 19:56;Rebecca Gilmore;['Olive Oil', 'Feminine Hygiene Products', 'Toothpaste', 'Soap', 'Bath Towels'];8;46.79;Debit Card;Los Angeles;Specialty Store;False;Retiree;Winter;None
1000000055;23.06.2022 18:30;Todd Parrish;['Peanut Butter'];7;25.89;Mobile Payment;Seattle;Specialty Store;True;Student;Fall;Discount on Selected Items
1000000056;09.05.2022 8:42;Christopher Blake;['Orange'];6;май.21;Cash;Dallas;Warehouse Club;False;Young Adult;Winter;BOGO (Buy One Get One)
1000000057;23.11.2021 7:49;Marie Young;['Syrup', 'Tuna', 'Paper Towels', 'Toothpaste', 'Mustard'];3;дек.72;Cash;Los Angeles;Pharmacy;True;Homemaker;Summer;BOGO (Buy One Get One)
1000000058;11.01.2024 5:41;James Mccarthy;['Laundry Detergent', 'BBQ Sauce'];5;15.14;Mobile Payment;Miami;Pharmacy;False;Middle-Aged;Winter;Discount on Selected Items
1000000059;30.06.2020 0:58;Sharon Espinoza;['Dish Soap', 'Shower Gel', 'Lawn Mower', 'Dustpan', 'Toothpaste'];4;15.68;Debit Card;Atlanta;Specialty Store;True;Professional;Winter;None
1000000060;11.11.2021 3:45;Rachel Rasmussen;['Dustpan', 'Bath Towels', 'Pickles', 'Sponges'];2;92.78;Credit Card;Seattle;Supermarket;True;Young Adult;Fall;None
1000000061;28.10.2021 20:51;Thomas Lowery;['Milk', 'Tuna', 'Ketchup', 'Broom'];10;35.95;Credit Card;Boston;Department Store;True;Senior Citizen;Winter;BOGO (Buy One Get One)
1000000062;23.06.2021 6:46;Richard Johnston;['Beef', 'Bread', 'Dustpan'];5;88.59;Cash;Chicago;Specialty Store;False;Professional;Winter;BOGO (Buy One Get One)
1000000063;24.08.2023 5:20;Rebecca Vasquez;['Pancake Mix', 'Dustpan', 'Laundry Detergent', 'Garden Hose'];6;66.87;Mobile Payment;Houston;Department Store;True;Professional;Summer;BOGO (Buy One Get One)
1000000064;28.06.2021 6:41;Samuel Mays;['Cereal Bars', 'Air Freshener', 'Honey', 'Laundry Detergent'];3;37.35;Cash;San Francisco;Department Store;True;Young Adult;Winter;Discount on Selected Items
1000000065;14.08.2023 13:19;Karen Williams;['Banana', 'Garden Hose', 'Extension Cords', 'Toothpaste', 'Syrup'];6;60.37;Debit Card;New York;Department Store;False;Young Adult;Spring;BOGO (Buy One Get One)
1000000066;08.04.2022 8:49;Ian Murphy;['Shrimp'];8;51.42;Credit Card;Miami;Department Store;True;Homemaker;Winter;None
1000000067;04.04.2020 1:57;Elizabeth Li;['Broom', 'Pickles', 'Cleaning Rags'];1;54.04;Mobile Payment;Miami;Specialty Store;True;Retiree;Spring;None
1000000068;30.10.2021 21:16;Brenda Chase;['Peanut Butter', 'Lawn Mower', 'Syrup', 'Chicken', 'Toothpaste'];3;67.43;Cash;Dallas;Department Store;True;Teenager;Fall;None
1000000069;19.08.2022 7:26;Anthony Miranda;['Peanut Butter', 'Razors'];8;48.83;Cash;Seattle;Warehouse Club;False;Retiree;Summer;BOGO (Buy One Get One)
1000000070;21.09.2020 9:18;Patricia Adams;['Mop', 'Laundry Detergent', 'Vacuum Cleaner'];8;19.апр;Credit Card;Atlanta;Pharmacy;False;Senior Citizen;Fall;Discount on Selected Items
1000000071;11.05.2020 12:03;Jacob Douglas;['Eggs', 'Shower Gel', 'Olive Oil'];1;дек.73;Mobile Payment;Houston;Pharmacy;False;Retiree;Spring;Discount on Selected Items
1000000072;27.10.2022 3:15;Martin Gonzalez;['Vinegar'];5;77.41;Mobile Payment;Los Angeles;Specialty Store;False;Student;Spring;None
1000000073;13.06.2021 14:25;Sherry Nunez;['Shaving Cream', 'Apple', 'Pickles'];4;78.52;Credit Card;Miami;Supermarket;True;Homemaker;Summer;None
1000000074;16.03.2020 13:50;Joshua Livingston;['Canned Soup', 'Tea'];2;16.сен;Mobile Payment;Dallas;Supermarket;True;Middle-Aged;Spring;Discount on Selected Items
1000000075;28.05.2023 19:43;Kimberly Morton;['Syrup', 'Salmon'];1;40.11;Debit Card;Seattle;Convenience Store;False;Teenager;Summer;Discount on Selected Items
1000000076;11.04.2024 22:31;Robin Graham;['Peanut Butter'];6;57.04;Cash;Atlanta;Warehouse Club;False;Homemaker;Winter;BOGO (Buy One Get One)
1000000077;18.03.2024 2:50;Donna Randall;['Hair Gel', 'Tomatoes', 'Cheese', 'Power Strips', 'Beef'];6;68.29;Mobile Payment;Los Angeles;Specialty Store;False;Young Adult;Fall;BOGO (Buy One Get One)
1000000078;06.01.2021 11:48;Alfred Schneider;['Light Bulbs', 'Tissues'];4;41.24;Debit Card;Dallas;Supermarket;False;Homemaker;Fall;None
1000000079;24.01.2024 16:50;Taylor Wilson;['Olive Oil', 'Banana'];4;72.11;Cash;Los Angeles;Department Store;True;Professional;Winter;BOGO (Buy One Get One)
1000000080;16.05.2020 23:24;Matthew Henderson;['Mop', 'Jam', 'Cheese', 'Hand Sanitizer'];1;65.96;Mobile Payment;Miami;Convenience Store;True;Teenager;Summer;Discount on Selected Items
1000000081;10.05.2022 23:55;Christina Hoover;['Diapers', 'Light Bulbs', 'Soda', 'Toothpaste'];4;80.75;Credit Card;New York;Warehouse Club;True;Homemaker;Winter;Discount on Selected Items
1000000082;12.09.2021 13:17;Paul Tate;['Light Bulbs', 'Hair Gel', 'Mustard', 'Iron'];9;68.09;Debit Card;New York;Specialty Store;True;Retiree;Winter;BOGO (Buy One Get One)
1000000083;10.09.2020 19:56;Melissa Rose;['Hand Sanitizer', 'Dish Soap', 'Deodorant', 'Cereal'];8;16.17;Debit Card;Seattle;Pharmacy;False;Teenager;Spring;Discount on Selected Items
1000000084;30.05.2022 10:26;Brittany Simmons;['Ketchup', 'Toothpaste'];5;89.56;Mobile Payment;Chicago;Supermarket;False;Student;Winter;Discount on Selected Items
1000000085;28.10.2020 23:16;Henry Kirk;['Toothpaste', 'Dishware', 'Bread', 'Eggs'];5;54.94;Credit Card;Dallas;Supermarket;False;Student;Winter;None
1000000086;22.09.2020 3:20;James Richardson;['Iron', 'Plant Fertilizer', 'Eggs', 'Pickles'];1;93.74;Cash;Seattle;Specialty Store;False;Retiree;Fall;None
1000000087;03.09.2021 1:57;Keith Rodriguez;['Air Freshener', 'Chicken', 'Shaving Cream'];10;67.87;Cash;Chicago;Specialty Store;True;Retiree;Spring;None
1000000088;23.04.2020 4:16;Marie Owen;['Plant Fertilizer', 'Tuna', 'Orange'];5;авг.46;Cash;Seattle;Department Store;True;Middle-Aged;Winter;Discount on Selected Items
1000000089;23.03.2021 19:58;James Adams;['Mop'];8;45.75;Credit Card;New York;Pharmacy;True;Senior Citizen;Summer;BOGO (Buy One Get One)
1000000090;18.11.2023 20:40;Troy Durham;['Baby Wipes'];7;34.09;Debit Card;Los Angeles;Convenience Store;False;Middle-Aged;Fall;None
1000000091;03.04.2023 21:35;Dr. Adam Chan;['Beef', 'Cleaning Spray', 'Sponges'];1;41.48;Credit Card;Miami;Convenience Store;False;Professional;Winter;Discount on Selected Items
1000000092;08.02.2023 15:22;Mark Blankenship;['Tissues', 'Cheese', 'Toilet Paper', 'Cereal Bars', 'Cereal Bars'];4;37.38;Mobile Payment;Miami;Pharmacy;True;Retiree;Spring;BOGO (Buy One Get One)
1000000093;30.12.2023 4:04;Brooke Bennett;['Water', 'Olive Oil'];4;55.81;Cash;Boston;Convenience Store;False;Young Adult;Summer;BOGO (Buy One Get One)
1000000094;10.04.2021 16:00;Dale Castaneda;['Banana', 'Toothpaste', 'Iron'];1;90.7;Credit Card;Chicago;Pharmacy;False;Middle-Aged;Summer;BOGO (Buy One Get One)
1000000095;08.02.2022 17:55;Jim Wells;['Potatoes', 'Cleaning Spray'];3;32.25;Mobile Payment;Chicago;Convenience Store;False;Teenager;Summer;BOGO (Buy One Get One)
1000000096;11.05.2021 19:50;Michael Johnson;['Cleaning Rags', 'Syrup', 'BBQ Sauce'];8;94.76;Cash;Seattle;Pharmacy;False;Middle-Aged;Summer;Discount on Selected Items
1000000097;29.07.2022 17:21;Lisa Delgado;['Dish Soap', 'Apple'];5;50.2;Mobile Payment;Miami;Warehouse Club;True;Professional;Winter;None
1000000098;05.10.2022 18:14;Matthew Jackson;['Salmon', 'Dustpan', 'Yogurt'];8;29.апр;Mobile Payment;Miami;Specialty Store;False;Professional;Winter;None
1000000099;01.08.2020 23:03;Nicholas Stephens;['Eggs'];7;27.53;Credit Card;Chicago;Convenience Store;False;Middle-Aged;Fall;None
1000000100;15.01.2020 21:16;Jean Moore;['Deodorant'];10;71.36;Mobile Payment;Houston;Warehouse Club;False;Teenager;Spring;Discount on Selected Items
1000000101;15.03.2021 1:30;Daniel Johnson;['Canned Soup'];8;авг.22;Mobile Payment;New York;Convenience Store;False;Student;Fall;None
1000000102;22.10.2022 16:34;Maria Murray MD;['Soda', 'Laundry Detergent', 'Vinegar', 'Toothbrush'];1;92.73;Credit Card;Los Angeles;Department Store;False;Senior Citizen;Winter;None
1000000103;10.02.2020 1:48;Scott Hunter;['Bath Towels', 'Canned Soup'];10;93.1;Cash;San Francisco;Convenience Store;False;Professional;Summer;Discount on Selected Items
1000000104;27.12.2022 6:34;Sean Moore;['Air Freshener', 'Tuna', 'Onions', 'Baby Wipes'];2;дек.24;Cash;New York;Department Store;True;Retiree;Fall;None
1000000105;21.04.2021 3:43;Alexander Harmon;['Trash Bags', 'Feminine Hygiene Products', 'Lawn Mower', 'Ice Cream'];10;20.13;Cash;Seattle;Supermarket;True;Young Adult;Summer;Discount on Selected Items
1000000106;14.05.2022 12:06;David Rodriguez;['Tuna', 'Coffee', 'Trash Cans'];8;48.09;Mobile Payment;Dallas;Pharmacy;True;Retiree;Spring;BOGO (Buy One Get One)
1000000107;30.01.2023 16:47;Linda Davis;['Sponges', 'Cleaning Rags', 'Razors', 'Tuna'];2;37.71;Cash;Seattle;Pharmacy;False;Retiree;Winter;Discount on Selected Items
1000000108;11.10.2023 18:27;Linda Hayden;['Razors', 'Light Bulbs', 'Trash Cans', 'Honey'];9;30.мар;Credit Card;Seattle;Supermarket;False;Teenager;Spring;BOGO (Buy One Get One)
1000000109;24.09.2022 1:38;Connie Baker;['Mustard', 'Soap', 'Bread', 'Pasta', 'Shaving Cream'];7;57.89;Mobile Payment;Seattle;Department Store;True;Middle-Aged;Winter;Discount on Selected Items
1000000110;23.04.2021 13:09;Mr. Kenneth Watson;['Chips', 'Canned Soup', 'Cleaning Spray', 'Olive Oil'];8;15.34;Cash;Miami;Department Store;True;Teenager;Winter;BOGO (Buy One Get One)
1000000111;21.09.2022 12:12;Maurice Brown;['Air Freshener', 'Laundry Detergent', 'Cleaning Spray', 'Shaving Cream', 'Ketchup'];10;90.93;Cash;Miami;Specialty Store;True;Teenager;Fall;None
1000000112;11.01.2022 11:36;William Wood;['Tissues', 'Insect Repellent', 'Bread', 'Pancake Mix'];2;63.34;Cash;Atlanta;Pharmacy;True;Student;Fall;None
1000000113;24.04.2023 1:06;Javier Ryan;['Feminine Hygiene Products', 'Pickles'];2;48.86;Credit Card;Miami;Supermarket;False;Teenager;Spring;Discount on Selected Items
1000000114;31.07.2021 22:35;Mr. David Casey;['Pasta', 'Orange'];1;44.08;Debit Card;Los Angeles;Supermarket;True;Teenager;Winter;None
1000000115;12.12.2021 2:59;Ms. Megan Hicks;['Shower Gel', 'Pickles', 'Bread', 'Sponges'];1;79.64;Cash;San Francisco;Pharmacy;True;Teenager;Fall;None
1000000116;05.03.2024 6:13;Debbie Tucker;['Apple'];5;43.61;Mobile Payment;San Francisco;Pharmacy;True;Teenager;Fall;BOGO (Buy One Get One)
1000000117;05.01.2021 21:56;Joseph Guzman;['Spinach', 'Chips', 'Diapers', 'Tissues'];6;25.23;Credit Card;San Francisco;Convenience Store;False;Middle-Aged;Fall;BOGO (Buy One Get One)
1000000118;06.04.2023 20:51;Xavier Tran;['Yogurt', 'Power Strips'];7;13.28;Credit Card;Seattle;Specialty Store;True;Teenager;Fall;None
1000000119;21.06.2021 7:37;Janet Sullivan;['Extension Cords', 'Insect Repellent'];1;60.7;Debit Card;Atlanta;Department Store;False;Retiree;Winter;None
1000000120;26.02.2023 11:40;James Ray;['Cleaning Spray', 'Trash Cans'];8;53.89;Mobile Payment;New York;Department Store;False;Senior Citizen;Summer;Discount on Selected Items
1000000121;21.03.2022 14:49;Jason Marshall;['Vacuum Cleaner', 'Spinach'];8;14.37;Debit Card;Los Angeles;Convenience Store;False;Homemaker;Winter;BOGO (Buy One Get One)
1000000122;29.08.2020 13:41;Alexander Wright;['Shampoo'];9;56.04;Mobile Payment;Chicago;Department Store;True;Student;Spring;None
1000000123;17.09.2023 23:36;Cathy Jackson;['Bath Towels', 'Feminine Hygiene Products'];4;44.49;Credit Card;Miami;Department Store;False;Homemaker;Spring;BOGO (Buy One Get One)
1000000124;21.08.2023 7:05;Mercedes Anderson;['Ketchup', 'Eggs', 'Mop', 'Mop'];7;66.28;Debit Card;Miami;Supermarket;False;Homemaker;Fall;None
1000000125;02.05.2021 14:10;Anthony Christensen;['Pasta', 'Coffee', 'Canned Soup'];8;23.96;Cash;Chicago;Convenience Store;True;Young Adult;Spring;None
1000000126;10.08.2022 0:26;Cameron Walker;['Canned Soup', 'Toothpaste', 'Olive Oil'];10;68.06;Debit Card;San Francisco;Department Store;True;Professional;Winter;None
1000000127;02.06.2021 5:16;Paul Brown;['Soap', 'Trash Cans', 'Shampoo', 'Hair Gel', 'Eggs'];7;33.04;Cash;Boston;Pharmacy;True;Professional;Spring;BOGO (Buy One Get One)
1000000128;30.04.2024 2:08;Kimberly Stevens;['Paper Towels'];6;34.28;Cash;Los Angeles;Warehouse Club;False;Professional;Fall;None
1000000129;28.10.2020 23:23;Jordan Garcia;['Rice', 'Broom', 'Insect Repellent', 'Shower Gel'];4;24.дек;Mobile Payment;Houston;Supermarket;True;Retiree;Summer;Discount on Selected Items
1000000130;08.09.2022 7:32;Ryan Joseph II;['Tea', 'Ironing Board'];8;сен.31;Credit Card;Miami;Supermarket;False;Middle-Aged;Winter;BOGO (Buy One Get One)
1000000131;02.09.2022 23:11;Debbie Brown;['Hand Sanitizer', 'Tomatoes', 'Yogurt', 'Hair Gel'];10;86.98;Mobile Payment;Boston;Department Store;False;Senior Citizen;Summer;BOGO (Buy One Get One)
1000000132;18.04.2021 21:43;Dawn Pratt;['Carrots', 'Extension Cords'];5;83.34;Mobile Payment;Atlanta;Convenience Store;False;Senior Citizen;Spring;Discount on Selected Items
1000000133;08.07.2022 20:10;Madison Hill;['Carrots', 'Ice Cream', 'Orange', 'Hair Gel'];6;40.37;Debit Card;Boston;Department Store;False;Teenager;Winter;Discount on Selected Items
1000000134;28.10.2020 3:12;Kelly Atkinson;['Hair Gel', 'Toothpaste', 'Dish Soap', 'Sponges', 'Spinach'];1;июл.14;Mobile Payment;Atlanta;Department Store;False;Teenager;Spring;Discount on Selected Items
1000000135;04.05.2020 9:30;Patricia Fuller;['Insect Repellent', 'Peanut Butter', 'Potatoes', 'Tissues', 'Trash Cans'];1;56.7;Mobile Payment;Seattle;Specialty Store;False;Professional;Fall;BOGO (Buy One Get One)
1000000136;26.02.2021 11:14;Debra Brown;['Feminine Hygiene Products', 'Ironing Board', 'Power Strips', 'Tomatoes'];9;90.9;Credit Card;Chicago;Department Store;False;Teenager;Fall;Discount on Selected Items
1000000137;02.11.2023 9:25;Brett Hernandez;['Ketchup', 'Power Strips', 'Dustpan'];9;59.02;Mobile Payment;Chicago;Specialty Store;False;Professional;Winter;BOGO (Buy One Get One)
1000000138;07.04.2021 10:10;Diane Hughes;['BBQ Sauce', 'Tuna', 'Honey'];3;36.46;Mobile Payment;Dallas;Warehouse Club;True;Middle-Aged;Spring;None
1000000139;03.11.2022 2:17;Jeffrey Jones;['Tuna', 'Toilet Paper'];2;73.35;Credit Card;Dallas;Specialty Store;False;Senior Citizen;Winter;None
1000000140;08.12.2020 16:09;Frank Torres;['Cheese', 'Shaving Cream'];5;52.95;Mobile Payment;San Francisco;Pharmacy;True;Teenager;Summer;None
1000000141;05.03.2023 4:11;Daniel Mcguire;['Coffee', 'Laundry Detergent', 'Jam'];1;77.42;Credit Card;Miami;Warehouse Club;True;Professional;Fall;None
1000000142;18.03.2023 16:05;Russell Harmon;['Deodorant', 'Ironing Board', 'Spinach'];7;53.23;Cash;Miami;Specialty Store;False;Student;Summer;BOGO (Buy One Get One)
1000000143;04.04.2024 5:28;John Benitez;['Ketchup', 'Razors', 'Shaving Cream'];4;71.54;Credit Card;Miami;Department Store;True;Teenager;Fall;Discount on Selected Items
1000000144;19.11.2022 23:47;Wesley Delacruz;['Dish Soap', 'Ironing Board', 'Carrots', 'Light Bulbs'];6;78.93;Cash;San Francisco;Pharmacy;True;Teenager;Fall;None
1000000145;07.02.2023 2:49;Shannon Reid;['Hand Sanitizer'];4;76.86;Mobile Payment;Seattle;Convenience Store;True;Student;Summer;Discount on Selected Items
1000000146;31.12.2022 19:41;Steven Brown;['Laundry Detergent', 'BBQ Sauce', 'Butter', 'Garden Hose', 'Paper Towels'];2;25.апр;Debit Card;Miami;Pharmacy;True;Senior Citizen;Winter;Discount on Selected Items
1000000147;18.03.2021 13:20;Harold Miller;['Peanut Butter', 'Coffee'];1;62.25;Cash;Los Angeles;Warehouse Club;True;Middle-Aged;Spring;Discount on Selected Items
1000000148;28.07.2023 8:34;Jessica Middleton;['Chips', 'Broom', 'Paper Towels'];6;45.81;Debit Card;Chicago;Department Store;False;Middle-Aged;Winter;None
1000000149;11.04.2021 4:00;Luke Bell;['Orange', 'Orange'];4;47.73;Debit Card;Houston;Warehouse Club;True;Retiree;Summer;Discount on Selected Items
